operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.119137335714286E7;5091663.493142149;4.2575078E7;6.2640617E7;
OperationGenerateGraph;5.09894869E8;0.0;5.09894869E8;5.09894869E8;
OperationShutdownGraph;4.535715145714286E8;3.859586776202922E7;4.21489347E8;5.64600221E8;
OperationDoGC;3.588646043642857E9;6632320.472555961;3.582119088E9;3.606688992E9;
OperationGetManyVertices;1636273.0;0.0;1636273.0;1636273.0;
OperationGetManyVertexProperties;2.4184528E7;0.0;2.4184528E7;2.4184528E7;
OperationGetManyEdges;870981.0;0.0;870981.0;870981.0;
OperationGetManyEdgeProperties;1.9149895E7;0.0;1.9149895E7;1.9149895E7;
OperationGetFirstNeighbor;37313.132;21576.539969202113;4894.0;173852.0;
OperationGetRandomNeighbor;33726.526;22235.636194211398;2775.0;246428.0;
OperationGetAllNeighbors;24444.424;24455.857165109235;2587.0;380215.0;
OperationGetKFirstNeighbors;26086.414;21680.28023012166;5424.0;221984.0;
OperationGetKRandomNeighbors;41708.201;39846.68450888476;4220.0;354790.0;
OperationGetKHopNeighbors;45349.3;77453.20927678865;3182.0;1296249.0;
OperationGetShortestPath;1403273.762;2848347.872149914;2181.0;2.7571721E7;
OperationGlobalClusteringCoefficient;1.37584129E8;0.0;1.37584129E8;1.37584129E8;
OperationNetworkAverageClusteringCoefficient;3.1775354E7;0.0;3.1775354E7;3.1775354E7;
