operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     51.191            5.092        42.575          62.641    
OperationGenerateGraph                                509.895            0.000       509.895         509.895    
OperationShutdownGraph                                453.572           38.596       421.489         564.600    
OperationDoGC                                        3588.646            6.632      3582.119        3606.689    
OperationGetManyVertices                                1.636            0.000         1.636           1.636    
OperationGetManyVertexProperties                       24.185            0.000        24.185          24.185    
OperationGetManyEdges                                   0.871            0.000         0.871           0.871    
OperationGetManyEdgeProperties                         19.150            0.000        19.150          19.150    
OperationGetFirstNeighbor                               0.037            0.022         0.005           0.174    
OperationGetRandomNeighbor                              0.034            0.022         0.003           0.246    
OperationGetAllNeighbors                                0.024            0.024         0.003           0.380    
OperationGetKFirstNeighbors                             0.026            0.022         0.005           0.222    
OperationGetKRandomNeighbors                            0.042            0.040         0.004           0.355    
OperationGetKHopNeighbors                               0.045            0.077         0.003           1.296    
OperationGetShortestPath                                1.403            2.848         0.002          27.572    
OperationGlobalClusteringCoefficient                  137.584            0.000       137.584         137.584    
OperationNetworkAverageClusteringCoefficient           31.775            0.000        31.775          31.775    
