operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     50.791            6.356        40.595          65.851    
OperationGenerateGraph                                637.074            0.000       637.074         637.074    
OperationShutdownGraph                                464.540           49.895       350.832         575.391    
OperationDoGC                                        3616.698           26.474      3597.086        3709.372    
OperationGetManyVertices                                0.826            0.000         0.826           0.826    
OperationGetManyVertexProperties                       17.434            0.000        17.434          17.434    
OperationGetManyEdges                                   0.797            0.000         0.797           0.797    
OperationGetManyEdgeProperties                         13.393            0.000        13.393          13.393    
OperationGetFirstNeighbor                               0.030            0.019         0.005           0.246    
OperationGetRandomNeighbor                              0.030            0.024         0.003           0.569    
OperationGetAllNeighbors                                0.026            0.017         0.003           0.246    
OperationGetKFirstNeighbors                             0.035            0.025         0.006           0.182    
OperationGetKRandomNeighbors                            0.035            0.028         0.004           0.328    
OperationGetKHopNeighbors                               0.058            0.059         0.004           0.695    
OperationGetShortestPath                                3.095            3.973         0.004          18.845    
OperationGlobalClusteringCoefficient                  131.592            0.000       131.592         131.592    
OperationNetworkAverageClusteringCoefficient           48.956            0.000        48.956          48.956    
