operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.7052130307692304E7;5078928.265146593;3.4620648E7;5.7025401E7;
OperationGenerateGraph;5.62013902E8;0.0;5.62013902E8;5.62013902E8;
OperationShutdownGraph;4.3986259734615386E8;2.5470273193338078E7;3.5232246E8;4.94962872E8;
OperationDoGC;3.6019081641538463E9;5698364.117999451;3.592366306E9;3.618868648E9;
OperationGetManyVertices;514071.0;0.0;514071.0;514071.0;
OperationGetManyVertexProperties;1.0627478E7;0.0;1.0627478E7;1.0627478E7;
OperationGetManyEdges;810596.0;0.0;810596.0;810596.0;
OperationGetManyEdgeProperties;1.3372324E7;0.0;1.3372324E7;1.3372324E7;
OperationGetFirstNeighbor;32443.541;19354.37159698859;4754.0;148646.0;
OperationGetRandomNeighbor;40341.192;28252.38862848833;2393.0;256599.0;
OperationGetAllNeighbors;26796.374;21094.70960691623;2442.0;318572.0;
OperationGetKFirstNeighbors;29283.627;27483.07403813248;2011.0;262842.0;
OperationGetKRandomNeighbors;38357.5512;37052.15446517756;2633.0;698372.0;
OperationGetKHopNeighbors;206438.5988;557714.6639935151;2843.0;1.9567568E7;
OperationGetShortestPath;3970789.838;4792045.015111558;3847.0;2.0008789E7;
OperationGlobalClusteringCoefficient;1.2717725E8;0.0;1.2717725E8;1.2717725E8;
OperationNetworkAverageClusteringCoefficient;4.8569627E7;0.0;4.8569627E7;4.8569627E7;
