operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.632070784615385E7;5228059.428267276;3.6329082E7;6.2469718E7;
OperationGenerateGraph;5.86083638E8;0.0;5.86083638E8;5.86083638E8;
OperationShutdownGraph;4.2650851346153843E8;1.9737003146348037E7;3.59210879E8;4.63864682E8;
OperationDoGC;3.599161719269231E9;9331957.768712994;3.583426027E9;3.635420968E9;
OperationGetManyVertices;714534.0;0.0;714534.0;714534.0;
OperationGetManyVertexProperties;1.8819677E7;0.0;1.8819677E7;1.8819677E7;
OperationGetManyEdges;782625.0;0.0;782625.0;782625.0;
OperationGetManyEdgeProperties;1.4910522E7;0.0;1.4910522E7;1.4910522E7;
OperationGetFirstNeighbor;24831.323;16186.920691986821;4433.0;158367.0;
OperationGetRandomNeighbor;36817.663;27861.717104432584;2348.0;442558.0;
OperationGetAllNeighbors;36301.186;30470.089735827903;2395.0;642435.0;
OperationGetKFirstNeighbors;30802.1276;28979.683871217716;2104.0;354446.0;
OperationGetKRandomNeighbors;35230.523;34347.54337411442;2512.0;461537.0;
OperationGetKHopNeighbors;181108.9868;496460.1328792945;2585.0;1.752291E7;
OperationGetShortestPath;2885018.366;4240447.803558667;3668.0;2.4135969E7;
OperationGlobalClusteringCoefficient;1.17999803E8;0.0;1.17999803E8;1.17999803E8;
OperationNetworkAverageClusteringCoefficient;4.2444183E7;0.0;4.2444183E7;4.2444183E7;
