operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.7570177884615384E7;5457375.283139649;4.0033743E7;6.4040789E7;
OperationGenerateGraph;5.53671036E8;0.0;5.53671036E8;5.53671036E8;
OperationShutdownGraph;4.267999432307692E8;4.3382311091653384E7;3.9485764E8;6.29432581E8;
OperationDoGC;3.5949363651923075E9;5494060.31415385;3.583134302E9;3.609379828E9;
OperationGetManyVertices;545068.0;0.0;545068.0;545068.0;
OperationGetManyVertexProperties;1.0632551E7;0.0;1.0632551E7;1.0632551E7;
OperationGetManyEdges;778892.0;0.0;778892.0;778892.0;
OperationGetManyEdgeProperties;2.3614338E7;0.0;2.3614338E7;2.3614338E7;
OperationGetFirstNeighbor;30889.642;22792.893910160597;5032.0;271594.0;
OperationGetRandomNeighbor;27115.115;16895.07386138858;5104.0;254950.0;
OperationGetAllNeighbors;23826.381;17142.545152393177;2196.0;159904.0;
OperationGetKFirstNeighbors;24394.5238;24741.44702642581;1861.0;296071.0;
OperationGetKRandomNeighbors;29915.4206;34221.042429307905;2356.0;817712.0;
OperationGetKHopNeighbors;133464.8814;454803.0892135586;2485.0;1.5966468E7;
OperationGetShortestPath;1838279.954;3599811.344118052;3417.0;2.6719223E7;
OperationGlobalClusteringCoefficient;1.06152886E8;0.0;1.06152886E8;1.06152886E8;
OperationNetworkAverageClusteringCoefficient;3.1413764E7;0.0;3.1413764E7;3.1413764E7;
