operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     50.027            5.008        41.715          57.179    
OperationGenerateGraph                                570.161            0.000       570.161         570.161    
OperationShutdownGraph                                474.561           66.768       384.266         686.592    
OperationDoGC                                        3594.745            7.606      3584.746        3613.759    
OperationGetManyVertices                                0.716            0.000         0.716           0.716    
OperationGetManyVertexProperties                       18.833            0.000        18.833          18.833    
OperationGetManyEdges                                   0.765            0.000         0.765           0.765    
OperationGetManyEdgeProperties                         20.912            0.000        20.912          20.912    
OperationGetFirstNeighbor                               0.027            0.015         0.005           0.155    
OperationGetRandomNeighbor                              0.030            0.018         0.003           0.225    
OperationGetAllNeighbors                                0.026            0.019         0.003           0.223    
OperationGetKFirstNeighbors                             0.037            0.026         0.006           0.201    
OperationGetKRandomNeighbors                            0.037            0.029         0.004           0.277    
OperationGetKHopNeighbors                               0.058            0.063         0.003           0.696    
OperationGetShortestPath                                2.611            3.890         0.004          22.854    
OperationGlobalClusteringCoefficient                  132.246            0.000       132.246         132.246    
OperationNetworkAverageClusteringCoefficient           42.905            0.000        42.905          42.905    
