operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.865914915384615E7;6513193.44316224;4.00247E7;7.1241695E7;
OperationGenerateGraph;5.64880691E8;0.0;5.64880691E8;5.64880691E8;
OperationShutdownGraph;4.31490692E8;1.9932763334982693E7;4.09453117E8;4.94140121E8;
OperationDoGC;3.598090856230769E9;9162699.490546556;3.581862622E9;3.622461079E9;
OperationGetManyVertices;800391.0;0.0;800391.0;800391.0;
OperationGetManyVertexProperties;1.6408359E7;0.0;1.6408359E7;1.6408359E7;
OperationGetManyEdges;1166907.0;0.0;1166907.0;1166907.0;
OperationGetManyEdgeProperties;1.5671187E7;0.0;1.5671187E7;1.5671187E7;
OperationGetFirstNeighbor;34571.156;25206.579784565467;5140.0;281893.0;
OperationGetRandomNeighbor;27877.111;27923.38504907094;1921.0;567516.0;
OperationGetAllNeighbors;22468.638;17394.444141419295;2148.0;298777.0;
OperationGetKFirstNeighbors;22485.475;22273.340883418732;1883.0;348436.0;
OperationGetKRandomNeighbors;30015.3592;32009.956277073758;2298.0;459484.0;
OperationGetKHopNeighbors;144404.5032;423049.5018589816;2292.0;1.2098905E7;
OperationGetShortestPath;2070774.55;3618532.203780634;3327.0;2.0993005E7;
OperationGlobalClusteringCoefficient;1.11260085E8;0.0;1.11260085E8;1.11260085E8;
OperationNetworkAverageClusteringCoefficient;3.377229E7;0.0;3.377229E7;3.377229E7;
