operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.0027496E7;5007661.215360648;4.1714948E7;5.7178735E7;
OperationGenerateGraph;5.70161251E8;0.0;5.70161251E8;5.70161251E8;
OperationShutdownGraph;4.745608254285714E8;6.67678140236525E7;3.84266294E8;6.86592326E8;
OperationDoGC;3.594745018928571E9;7605961.373868211;3.584746465E9;3.613758518E9;
OperationGetManyVertices;715915.0;0.0;715915.0;715915.0;
OperationGetManyVertexProperties;1.8833227E7;0.0;1.8833227E7;1.8833227E7;
OperationGetManyEdges;765065.0;0.0;765065.0;765065.0;
OperationGetManyEdgeProperties;2.0911563E7;0.0;2.0911563E7;2.0911563E7;
OperationGetFirstNeighbor;26831.986;14582.472515585432;5100.0;155168.0;
OperationGetRandomNeighbor;29963.391;17918.17301462733;2945.0;225165.0;
OperationGetAllNeighbors;25874.078;18618.538619717612;2809.0;223447.0;
OperationGetKFirstNeighbors;36812.981;25887.750598586947;5653.0;201006.0;
OperationGetKRandomNeighbors;36920.422;29134.80508958172;4390.0;276772.0;
OperationGetKHopNeighbors;58146.839;63136.090908964914;3367.0;695569.0;
OperationGetShortestPath;2610687.262;3889592.028738799;4138.0;2.2853705E7;
OperationGlobalClusteringCoefficient;1.3224582E8;0.0;1.3224582E8;1.3224582E8;
OperationNetworkAverageClusteringCoefficient;4.2905251E7;0.0;4.2905251E7;4.2905251E7;
