operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.482438973076923E7;3881334.887766198;3.8434193E7;5.069655E7;
OperationGenerateGraph;5.8677283E8;0.0;5.8677283E8;5.8677283E8;
OperationShutdownGraph;4.3372859188461536E8;2.7662629300191548E7;3.27061078E8;4.9606573E8;
OperationDoGC;3.608763357923077E9;7106934.240281476;3.595115715E9;3.626130771E9;
OperationGetManyVertices;499542.0;0.0;499542.0;499542.0;
OperationGetManyVertexProperties;1.0397396E7;0.0;1.0397396E7;1.0397396E7;
OperationGetManyEdges;796863.0;0.0;796863.0;796863.0;
OperationGetManyEdgeProperties;1.3982375E7;0.0;1.3982375E7;1.3982375E7;
OperationGetFirstNeighbor;23639.737;14430.968339575518;4834.0;146454.0;
OperationGetRandomNeighbor;36122.056;28984.19988115704;2391.0;630096.0;
OperationGetAllNeighbors;23826.163;21455.598784103662;2146.0;412647.0;
OperationGetKFirstNeighbors;28891.5504;26594.023174763537;1917.0;221412.0;
OperationGetKRandomNeighbors;38344.1046;35379.37177243344;2636.0;520735.0;
OperationGetKHopNeighbors;202272.8542;570373.0348496407;2701.0;1.9215083E7;
OperationGetShortestPath;3411917.41;4429193.840202228;1870.0;2.2075451E7;
OperationGlobalClusteringCoefficient;1.36876224E8;0.0;1.36876224E8;1.36876224E8;
OperationNetworkAverageClusteringCoefficient;4.7523699E7;0.0;4.7523699E7;4.7523699E7;
