operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     49.262            4.492        42.073          57.991    
OperationGenerateGraph                                616.651            0.000       616.651         616.651    
OperationShutdownGraph                                449.660           34.188       365.247         508.317    
OperationDoGC                                        3604.026            9.203      3589.988        3618.563    
OperationGetManyVertices                                0.699            0.000         0.699           0.699    
OperationGetManyVertexProperties                       12.174            0.000        12.174          12.174    
OperationGetManyEdges                                   0.794            0.000         0.794           0.794    
OperationGetManyEdgeProperties                         15.262            0.000        15.262          15.262    
OperationGetFirstNeighbor                               0.032            0.020         0.005           0.269    
OperationGetRandomNeighbor                              0.037            0.020         0.003           0.245    
OperationGetAllNeighbors                                0.032            0.030         0.003           0.489    
OperationGetKFirstNeighbors                             0.038            0.025         0.006           0.183    
OperationGetKRandomNeighbors                            0.040            0.025         0.004           0.334    
OperationGetKHopNeighbors                               0.060            0.098         0.005           1.780    
OperationGetShortestPath                                3.739            4.287         0.004          23.952    
OperationGlobalClusteringCoefficient                  130.881            0.000       130.881         130.881    
OperationNetworkAverageClusteringCoefficient           54.837            0.000        54.837          54.837    
