operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     48.894            4.029        42.691          57.699    
OperationGenerateGraph                                564.280            0.000       564.280         564.280    
OperationShutdownGraph                                447.036           36.253       388.923         524.778    
OperationDoGC                                        3591.796            8.170      3583.200        3609.872    
OperationGetManyVertices                                1.163            0.000         1.163           1.163    
OperationGetManyVertexProperties                       16.803            0.000        16.803          16.803    
OperationGetManyEdges                                   1.118            0.000         1.118           1.118    
OperationGetManyEdgeProperties                         13.135            0.000        13.135          13.135    
OperationGetFirstNeighbor                               0.023            0.016         0.005           0.161    
OperationGetRandomNeighbor                              0.033            0.025         0.003           0.256    
OperationGetAllNeighbors                                0.040            0.032         0.003           0.452    
OperationGetKFirstNeighbors                             0.032            0.023         0.005           0.190    
OperationGetKRandomNeighbors                            0.036            0.033         0.005           0.517    
OperationGetKHopNeighbors                               0.048            0.070         0.003           0.808    
OperationGetShortestPath                                1.808            3.231         0.004          14.736    
OperationGlobalClusteringCoefficient                  102.150            0.000       102.150         102.150    
OperationNetworkAverageClusteringCoefficient           30.808            0.000        30.808          30.808    
