operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.951753771428572E7;4103366.5270455573;4.3576726E7;5.4693938E7;
OperationGenerateGraph;5.89059086E8;0.0;5.89059086E8;5.89059086E8;
OperationShutdownGraph;4.6540352471428573E8;4.689036572595045E7;3.52117382E8;5.88146009E8;
OperationDoGC;3.600850947714286E9;8576303.556117063;3.583399387E9;3.617584373E9;
OperationGetManyVertices;744397.0;0.0;744397.0;744397.0;
OperationGetManyVertexProperties;1.0937372E7;0.0;1.0937372E7;1.0937372E7;
OperationGetManyEdges;1034696.0;0.0;1034696.0;1034696.0;
OperationGetManyEdgeProperties;2.5297016E7;0.0;2.5297016E7;2.5297016E7;
OperationGetFirstNeighbor;34202.737;22438.7865651383;4889.0;179965.0;
OperationGetRandomNeighbor;43799.308;27220.089818792585;2798.0;332025.0;
OperationGetAllNeighbors;30022.484;25510.01273766332;2871.0;319000.0;
OperationGetKFirstNeighbors;36699.704;25506.440512317364;5596.0;193256.0;
OperationGetKRandomNeighbors;35302.795;25112.898716973603;4152.0;295068.0;
OperationGetKHopNeighbors;55381.343;97364.1760289038;3495.0;2116526.0;
OperationGetShortestPath;3014632.658;3978346.0074601867;4105.0;2.634193E7;
OperationGlobalClusteringCoefficient;1.1725104E8;0.0;1.1725104E8;1.1725104E8;
OperationNetworkAverageClusteringCoefficient;4.3483932E7;0.0;4.3483932E7;4.3483932E7;
