operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     48.812            4.900        41.605          59.586    
OperationGenerateGraph                                532.037            0.000       532.037         532.037    
OperationShutdownGraph                                473.837           34.075       434.552         573.458    
OperationDoGC                                        3595.575            5.758      3581.629        3608.336    
OperationGetManyVertices                                0.981            0.000         0.981           0.981    
OperationGetManyVertexProperties                       20.185            0.000        20.185          20.185    
OperationGetManyEdges                                   0.817            0.000         0.817           0.817    
OperationGetManyEdgeProperties                         17.535            0.000        17.535          17.535    
OperationGetFirstNeighbor                               0.028            0.019         0.005           0.179    
OperationGetRandomNeighbor                              0.036            0.028         0.003           0.480    
OperationGetAllNeighbors                                0.027            0.021         0.003           0.307    
OperationGetKFirstNeighbors                             0.031            0.022         0.005           0.148    
OperationGetKRandomNeighbors                            0.034            0.027         0.004           0.295    
OperationGetKHopNeighbors                               0.042            0.094         0.003           1.992    
OperationGetShortestPath                                1.931            3.320         0.004          19.159    
OperationGlobalClusteringCoefficient                   97.889            0.000        97.889          97.889    
OperationNetworkAverageClusteringCoefficient           32.961            0.000        32.961          32.961    
