operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     49.518            4.103        43.577          54.694    
OperationGenerateGraph                                589.059            0.000       589.059         589.059    
OperationShutdownGraph                                465.404           46.890       352.117         588.146    
OperationDoGC                                        3600.851            8.576      3583.399        3617.584    
OperationGetManyVertices                                0.744            0.000         0.744           0.744    
OperationGetManyVertexProperties                       10.937            0.000        10.937          10.937    
OperationGetManyEdges                                   1.035            0.000         1.035           1.035    
OperationGetManyEdgeProperties                         25.297            0.000        25.297          25.297    
OperationGetFirstNeighbor                               0.034            0.022         0.005           0.180    
OperationGetRandomNeighbor                              0.044            0.027         0.003           0.332    
OperationGetAllNeighbors                                0.030            0.026         0.003           0.319    
OperationGetKFirstNeighbors                             0.037            0.026         0.006           0.193    
OperationGetKRandomNeighbors                            0.035            0.025         0.004           0.295    
OperationGetKHopNeighbors                               0.055            0.097         0.003           2.117    
OperationGetShortestPath                                3.015            3.978         0.004          26.342    
OperationGlobalClusteringCoefficient                  117.251            0.000       117.251         117.251    
OperationNetworkAverageClusteringCoefficient           43.484            0.000        43.484          43.484    
