operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.739789135714286E7;4615863.70800667;4.2026724E7;5.7031264E7;
OperationGenerateGraph;6.01407261E8;0.0;6.01407261E8;6.01407261E8;
OperationShutdownGraph;4.5489210578571427E8;4.298887221812854E7;4.11911138E8;5.88311494E8;
OperationDoGC;3.592246375142857E9;6874087.44818393;3.580070029E9;3.604799525E9;
OperationGetManyVertices;2725277.0;0.0;2725277.0;2725277.0;
OperationGetManyVertexProperties;1.4706972E7;0.0;1.4706972E7;1.4706972E7;
OperationGetManyEdges;861701.0;0.0;861701.0;861701.0;
OperationGetManyEdgeProperties;1.4830057E7;0.0;1.4830057E7;1.4830057E7;
OperationGetFirstNeighbor;30164.892;23266.587242187783;4820.0;173696.0;
OperationGetRandomNeighbor;36407.432;24854.480185901626;2643.0;271752.0;
OperationGetAllNeighbors;29153.477;21491.99976213174;2928.0;245065.0;
OperationGetKFirstNeighbors;34393.29;25006.828488632837;5441.0;184054.0;
OperationGetKRandomNeighbors;31633.71;28246.723997446163;4076.0;318999.0;
OperationGetKHopNeighbors;41558.915;101097.8969857323;3420.0;1928063.0;
OperationGetShortestPath;1006150.502;2565661.9758640756;2255.0;2.3673397E7;
OperationGlobalClusteringCoefficient;9.2238328E7;0.0;9.2238328E7;9.2238328E7;
OperationNetworkAverageClusteringCoefficient;2.7338825E7;0.0;2.7338825E7;2.7338825E7;
