operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.8812425928571425E7;4900089.512427918;4.1605213E7;5.958605E7;
OperationGenerateGraph;5.32036508E8;0.0;5.32036508E8;5.32036508E8;
OperationShutdownGraph;4.738365614285714E8;3.407540592705234E7;4.3455235E8;5.73458364E8;
OperationDoGC;3.5955754905E9;5758340.201241819;3.58162873E9;3.608335692E9;
OperationGetManyVertices;981353.0;0.0;981353.0;981353.0;
OperationGetManyVertexProperties;2.0185273E7;0.0;2.0185273E7;2.0185273E7;
OperationGetManyEdges;816897.0;0.0;816897.0;816897.0;
OperationGetManyEdgeProperties;1.7535099E7;0.0;1.7535099E7;1.7535099E7;
OperationGetFirstNeighbor;27992.055;18700.699287886935;4785.0;179426.0;
OperationGetRandomNeighbor;35558.746;27616.941066155116;2728.0;479770.0;
OperationGetAllNeighbors;27059.598;21075.92032079255;2707.0;307499.0;
OperationGetKFirstNeighbors;30875.139;21743.43509672929;5438.0;147896.0;
OperationGetKRandomNeighbors;34317.851;27168.886362617053;4135.0;294858.0;
OperationGetKHopNeighbors;41830.406;94081.26405362098;3296.0;1991559.0;
OperationGetShortestPath;1931475.532;3320269.0660757488;4175.0;1.9158749E7;
OperationGlobalClusteringCoefficient;9.7889031E7;0.0;9.7889031E7;9.7889031E7;
OperationNetworkAverageClusteringCoefficient;3.2960743E7;0.0;3.2960743E7;3.2960743E7;
