operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.62537945E7;5657786.370399301;3.5326483E7;6.4199689E7;
OperationGenerateGraph;5.78324558E8;0.0;5.78324558E8;5.78324558E8;
OperationShutdownGraph;4.196532142692308E8;2.0546005102481447E7;3.88364923E8;4.78389668E8;
OperationDoGC;3.6019985536538463E9;7146164.199943766;3.591952744E9;3.622888518E9;
OperationGetManyVertices;450794.0;0.0;450794.0;450794.0;
OperationGetManyVertexProperties;1.2820792E7;0.0;1.2820792E7;1.2820792E7;
OperationGetManyEdges;791315.0;0.0;791315.0;791315.0;
OperationGetManyEdgeProperties;1.5089438E7;0.0;1.5089438E7;1.5089438E7;
OperationGetFirstNeighbor;26229.305;20339.14212158356;4202.0;178909.0;
OperationGetRandomNeighbor;38121.805;38121.590043057935;2030.0;789498.0;
OperationGetAllNeighbors;24164.215;19050.15648982379;2066.0;310754.0;
OperationGetKFirstNeighbors;30492.776;29377.75722391049;1795.0;320278.0;
OperationGetKRandomNeighbors;24033.1146;26577.054352472325;2080.0;424565.0;
OperationGetKHopNeighbors;93607.0724;357861.96483189723;2342.0;9602866.0;
OperationGetShortestPath;847698.926;2345539.254450724;3428.0;1.5985325E7;
OperationGlobalClusteringCoefficient;9.0881245E7;0.0;9.0881245E7;9.0881245E7;
OperationNetworkAverageClusteringCoefficient;2.7422816E7;0.0;2.7422816E7;2.7422816E7;
