operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.889401635714286E7;4028616.593952722;4.2690904E7;5.7698656E7;
OperationGenerateGraph;5.64279942E8;0.0;5.64279942E8;5.64279942E8;
OperationShutdownGraph;4.47036342E8;3.625301755126893E7;3.88923342E8;5.24778104E8;
OperationDoGC;3.591795732785714E9;8169529.883685669;3.583199929E9;3.609871653E9;
OperationGetManyVertices;1163215.0;0.0;1163215.0;1163215.0;
OperationGetManyVertexProperties;1.6803276E7;0.0;1.6803276E7;1.6803276E7;
OperationGetManyEdges;1118150.0;0.0;1118150.0;1118150.0;
OperationGetManyEdgeProperties;1.3135068E7;0.0;1.3135068E7;1.3135068E7;
OperationGetFirstNeighbor;23499.213;15635.293398258664;4785.0;160603.0;
OperationGetRandomNeighbor;33380.628;25046.65308055382;2673.0;256385.0;
OperationGetAllNeighbors;39586.196;31520.7908646275;2601.0;452441.0;
OperationGetKFirstNeighbors;31505.188;23108.794109443636;5365.0;190070.0;
OperationGetKRandomNeighbors;36150.971;32520.946254316772;4829.0;516868.0;
OperationGetKHopNeighbors;48007.36;69887.31258716715;3315.0;808312.0;
OperationGetShortestPath;1807748.388;3231499.756866548;4218.0;1.4736487E7;
OperationGlobalClusteringCoefficient;1.02149671E8;0.0;1.02149671E8;1.02149671E8;
OperationNetworkAverageClusteringCoefficient;3.0807812E7;0.0;3.0807812E7;3.0807812E7;
