operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     50.409            6.521        42.568          68.507    
OperationGenerateGraph                                580.904            0.000       580.904         580.904    
OperationShutdownGraph                                462.951           20.415       433.701         495.372    
OperationDoGC                                        3602.713           17.514      3588.852        3662.835    
OperationGetManyVertices                                0.678            0.000         0.678           0.678    
OperationGetManyVertexProperties                       17.686            0.000        17.686          17.686    
OperationGetManyEdges                                   0.908            0.000         0.908           0.908    
OperationGetManyEdgeProperties                         23.074            0.000        23.074          23.074    
OperationGetFirstNeighbor                               0.031            0.018         0.005           0.148    
OperationGetRandomNeighbor                              0.037            0.027         0.003           0.482    
OperationGetAllNeighbors                                0.031            0.021         0.003           0.290    
OperationGetKFirstNeighbors                             0.043            0.033         0.005           0.311    
OperationGetKRandomNeighbors                            0.039            0.031         0.005           0.387    
OperationGetKHopNeighbors                               0.054            0.065         0.003           0.721    
OperationGetShortestPath                                2.354            3.647         0.004          16.137    
OperationGlobalClusteringCoefficient                  107.859            0.000       107.859         107.859    
OperationNetworkAverageClusteringCoefficient           39.533            0.000        39.533          39.533    
