operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;4.926166214285714E7;4491749.746951863;4.207317E7;5.7991095E7;
OperationGenerateGraph;6.16650759E8;0.0;6.16650759E8;6.16650759E8;
OperationShutdownGraph;4.49659556E8;3.418799054783425E7;3.65247324E8;5.08317095E8;
OperationDoGC;3.604025838214286E9;9203352.889204869;3.589987944E9;3.618563285E9;
OperationGetManyVertices;699209.0;0.0;699209.0;699209.0;
OperationGetManyVertexProperties;1.2174111E7;0.0;1.2174111E7;1.2174111E7;
OperationGetManyEdges;793777.0;0.0;793777.0;793777.0;
OperationGetManyEdgeProperties;1.5261781E7;0.0;1.5261781E7;1.5261781E7;
OperationGetFirstNeighbor;32055.433;20415.76097444107;4873.0;268802.0;
OperationGetRandomNeighbor;37010.047;19933.99042898313;2987.0;245268.0;
OperationGetAllNeighbors;32393.578;29681.938922077083;2739.0;489134.0;
OperationGetKFirstNeighbors;38232.077;25214.380907233684;5553.0;182767.0;
OperationGetKRandomNeighbors;39648.722;25347.94666975445;4135.0;333818.0;
OperationGetKHopNeighbors;59824.186;97646.26599328523;4699.0;1779982.0;
OperationGetShortestPath;3739179.814;4286605.59612082;3624.0;2.3951693E7;
OperationGlobalClusteringCoefficient;1.308808E8;0.0;1.308808E8;1.308808E8;
OperationNetworkAverageClusteringCoefficient;5.4837469E7;0.0;5.4837469E7;5.4837469E7;
