operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     44.824            3.881        38.434          50.697    
OperationGenerateGraph                                586.773            0.000       586.773         586.773    
OperationShutdownGraph                                433.729           27.663       327.061         496.066    
OperationDoGC                                        3608.763            7.107      3595.116        3626.131    
OperationGetManyVertices                                0.500            0.000         0.500           0.500    
OperationGetManyVertexProperties                       10.397            0.000        10.397          10.397    
OperationGetManyEdges                                   0.797            0.000         0.797           0.797    
OperationGetManyEdgeProperties                         13.982            0.000        13.982          13.982    
OperationGetFirstNeighbor                               0.024            0.014         0.005           0.146    
OperationGetRandomNeighbor                              0.036            0.029         0.002           0.630    
OperationGetAllNeighbors                                0.024            0.021         0.002           0.413    
OperationGetKFirstNeighbors                             0.029            0.027         0.002           0.221    
OperationGetKRandomNeighbors                            0.038            0.035         0.003           0.521    
OperationGetKHopNeighbors                               0.202            0.570         0.003          19.215    
OperationGetShortestPath                                3.412            4.429         0.002          22.075    
OperationGlobalClusteringCoefficient                  136.876            0.000       136.876         136.876    
OperationNetworkAverageClusteringCoefficient           47.524            0.000        47.524          47.524    
