operation                                       neo-mean (ms)   neo-stdev (ms)  neo-min (ms)    neo-max (ms)    
OperationOpenGraph                                     47.398            4.616        42.027          57.031    
OperationGenerateGraph                                601.407            0.000       601.407         601.407    
OperationShutdownGraph                                454.892           42.989       411.911         588.311    
OperationDoGC                                        3592.246            6.874      3580.070        3604.800    
OperationGetManyVertices                                2.725            0.000         2.725           2.725    
OperationGetManyVertexProperties                       14.707            0.000        14.707          14.707    
OperationGetManyEdges                                   0.862            0.000         0.862           0.862    
OperationGetManyEdgeProperties                         14.830            0.000        14.830          14.830    
OperationGetFirstNeighbor                               0.030            0.023         0.005           0.174    
OperationGetRandomNeighbor                              0.036            0.025         0.003           0.272    
OperationGetAllNeighbors                                0.029            0.021         0.003           0.245    
OperationGetKFirstNeighbors                             0.034            0.025         0.005           0.184    
OperationGetKRandomNeighbors                            0.032            0.028         0.004           0.319    
OperationGetKHopNeighbors                               0.042            0.101         0.003           1.928    
OperationGetShortestPath                                1.006            2.566         0.002          23.673    
OperationGlobalClusteringCoefficient                   92.238            0.000        92.238          92.238    
OperationNetworkAverageClusteringCoefficient           27.339            0.000        27.339          27.339    
