operation;neo-mean;neo-stdev;neo-min;neo-max;
OperationOpenGraph;5.079054521428572E7;6356393.240633887;4.0594689E7;6.5851458E7;
OperationGenerateGraph;6.37074329E8;0.0;6.37074329E8;6.37074329E8;
OperationShutdownGraph;4.645396225E8;4.989506277800433E7;3.50832072E8;5.75391228E8;
OperationDoGC;3.616698178214286E9;2.6473914961840793E7;3.597086075E9;3.709371648E9;
OperationGetManyVertices;826482.0;0.0;826482.0;826482.0;
OperationGetManyVertexProperties;1.7433874E7;0.0;1.7433874E7;1.7433874E7;
OperationGetManyEdges;796704.0;0.0;796704.0;796704.0;
OperationGetManyEdgeProperties;1.3392783E7;0.0;1.3392783E7;1.3392783E7;
OperationGetFirstNeighbor;30472.424;18989.89519197576;5098.0;246241.0;
OperationGetRandomNeighbor;29932.794;24288.163624933943;3451.0;569310.0;
OperationGetAllNeighbors;25556.459;16836.828624011087;3078.0;245833.0;
OperationGetKFirstNeighbors;35469.424;24879.21781817554;5552.0;182224.0;
OperationGetKRandomNeighbors;35145.492;27783.45422757826;4362.0;327671.0;
OperationGetKHopNeighbors;57669.935;58719.16168169277;4185.0;695105.0;
OperationGetShortestPath;3095029.09;3972875.302969081;4189.0;1.8845033E7;
OperationGlobalClusteringCoefficient;1.31592195E8;0.0;1.31592195E8;1.31592195E8;
OperationNetworkAverageClusteringCoefficient;4.8955873E7;0.0;4.8955873E7;4.8955873E7;
