operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;794474.6428571428;142927.76186571972;590315.0;1171185.0;
OperationGenerateGraph;2.24833649E8;0.0;2.24833649E8;2.24833649E8;
OperationShutdownGraph;5.85889357E8;2.02121699927376E9;285492.0;7.870836681E9;
OperationDoGC;3.448310925714286E9;1.0748297761414718E7;3.429172434E9;3.469016551E9;
OperationGetManyVertices;1065220.0;0.0;1065220.0;1065220.0;
OperationGetManyVertexProperties;1972638.0;0.0;1972638.0;1972638.0;
OperationGetManyEdges;1050520.0;0.0;1050520.0;1050520.0;
OperationGetManyEdgeProperties;1842603.0;0.0;1842603.0;1842603.0;
OperationGetFirstNeighbor;42722.122;19282.384973262917;19680.0;477934.0;
OperationGetRandomNeighbor;46505.839;23300.752157153187;17721.0;490446.0;
OperationGetAllNeighbors;37658.723;21912.443231969144;17853.0;410432.0;
OperationGetKFirstNeighbors;82536.413;27039.67494831309;42447.0;459948.0;
OperationGetKRandomNeighbors;39780.757;22859.103892496583;19387.0;645625.0;
OperationGetKHopNeighbors;128916.402;204211.23737981802;19688.0;3336640.0;
OperationGetShortestPath;4135331.502;6990044.547533927;19899.0;3.1078237E7;
OperationGlobalClusteringCoefficient;3.73314158E8;0.0;3.73314158E8;3.73314158E8;
OperationNetworkAverageClusteringCoefficient;1.32177071E8;0.0;1.32177071E8;1.32177071E8;
