operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.833            0.043         0.685           0.918    
OperationGenerateGraph                                260.465            0.000       260.465         260.465    
OperationShutdownGraph                               3449.229        11898.142         0.280       59729.312    
OperationDoGC                                        3427.878            6.838      3417.624        3448.714    
OperationGetManyVertices                                0.776            0.000         0.776           0.776    
OperationGetManyVertexProperties                        4.401            0.000         4.401           4.401    
OperationGetManyEdges                                   2.235            0.000         2.235           2.235    
OperationGetManyEdgeProperties                          1.812            0.000         1.812           1.812    
OperationGetFirstNeighbor                               0.032            0.013         0.019           0.342    
OperationGetRandomNeighbor                              0.044            0.025         0.017           0.528    
OperationGetAllNeighbors                                0.056            0.030         0.017           0.519    
OperationGetKFirstNeighbors                             0.057            0.036         0.016           0.545    
OperationGetKRandomNeighbors                            0.053            0.029         0.017           0.521    
OperationGetKHopNeighbors                               1.364            3.226         0.017          44.728    
OperationGetShortestPath                                6.843            9.086         0.018          32.154    
OperationGlobalClusteringCoefficient                  465.932            0.000       465.932         465.932    
OperationNetworkAverageClusteringCoefficient          184.729            0.000       184.729         184.729    
