operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;842403.9285714285;97561.17795990099;739241.0;1172886.0;
OperationGenerateGraph;2.57162628E8;0.0;2.57162628E8;2.57162628E8;
OperationShutdownGraph;1.7025611077857144E9;5.996670040722697E9;279187.0;2.3321196975E10;
OperationDoGC;3.436782968142857E9;6537125.871260733;3.427724636E9;3.449847907E9;
OperationGetManyVertices;1244851.0;0.0;1244851.0;1244851.0;
OperationGetManyVertexProperties;2169389.0;0.0;2169389.0;2169389.0;
OperationGetManyEdges;1151520.0;0.0;1151520.0;1151520.0;
OperationGetManyEdgeProperties;2007061.0;0.0;2007061.0;2007061.0;
OperationGetFirstNeighbor;29219.361;14520.607645710941;19146.0;376322.0;
OperationGetRandomNeighbor;42154.19;18972.468354905748;17992.0;364149.0;
OperationGetAllNeighbors;44385.791;19780.6109295269;17716.0;389289.0;
OperationGetKFirstNeighbors;47145.939;18639.54112351693;19911.0;391755.0;
OperationGetKRandomNeighbors;44137.844;20387.503061769577;19354.0;392650.0;
OperationGetKHopNeighbors;141463.105;179097.73786111872;19567.0;3487119.0;
OperationGetShortestPath;8577312.0;9838452.46938128;20339.0;3.2977978E7;
OperationGlobalClusteringCoefficient;4.93318676E8;0.0;4.93318676E8;4.93318676E8;
OperationNetworkAverageClusteringCoefficient;1.98028729E8;0.0;1.98028729E8;1.98028729E8;
