operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;826689.0714285715;124128.54895025116;539305.0;1174778.0;
OperationGenerateGraph;2.65244464E8;0.0;2.65244464E8;2.65244464E8;
OperationShutdownGraph;1.3181600044285715E9;4.623258296061213E9;291472.0;1.7984691403E10;
OperationDoGC;3.439895872E9;6163591.6104225535;3.429513682E9;3.455075775E9;
OperationGetManyVertices;1184600.0;0.0;1184600.0;1184600.0;
OperationGetManyVertexProperties;2248067.0;0.0;2248067.0;2248067.0;
OperationGetManyEdges;1015595.0;0.0;1015595.0;1015595.0;
OperationGetManyEdgeProperties;1956176.0;0.0;1956176.0;1956176.0;
OperationGetFirstNeighbor;32582.761;14400.723140380114;19943.0;390367.0;
OperationGetRandomNeighbor;40791.591;19625.800527869396;18316.0;513505.0;
OperationGetAllNeighbors;41442.135;23764.11872632298;18184.0;510092.0;
OperationGetKFirstNeighbors;58454.534;20865.564391380463;20703.0;343899.0;
OperationGetKRandomNeighbors;48717.938;22248.44268909973;19766.0;470362.0;
OperationGetKHopNeighbors;139230.133;137047.81532599966;20268.0;2237517.0;
OperationGetShortestPath;7536679.402;9168879.216607636;19986.0;3.1424194E7;
OperationGlobalClusteringCoefficient;4.9276662E8;0.0;4.9276662E8;4.9276662E8;
OperationNetworkAverageClusteringCoefficient;1.89329728E8;0.0;1.89329728E8;1.89329728E8;
