operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;825282.1923076923;100489.57965803039;599487.0;1194627.0;
OperationGenerateGraph;2.22214157E8;0.0;2.22214157E8;2.22214157E8;
OperationShutdownGraph;2.5524614566923075E9;8.397908147328405E9;255409.0;4.1479331979E10;
OperationDoGC;3.4163891021153846E9;6370622.048951562;3.406913568E9;3.433358996E9;
OperationGetManyVertices;741752.0;0.0;741752.0;741752.0;
OperationGetManyVertexProperties;2079912.0;0.0;2079912.0;2079912.0;
OperationGetManyEdges;907217.0;0.0;907217.0;907217.0;
OperationGetManyEdgeProperties;1876735.0;0.0;1876735.0;1876735.0;
OperationGetFirstNeighbor;30074.248;13023.658929290812;19114.0;308144.0;
OperationGetRandomNeighbor;34222.86;17717.226424031494;16543.0;366859.0;
OperationGetAllNeighbors;34807.612;19618.519819432244;16639.0;446757.0;
OperationGetKFirstNeighbors;45195.5684;29209.452983315543;16037.0;535102.0;
OperationGetKRandomNeighbors;37776.7622;19451.947146145867;16427.0;466927.0;
OperationGetKHopNeighbors;925478.7768;2637052.2977756485;16682.0;3.6602434E7;
OperationGetShortestPath;3647848.652;6453408.7807811275;18089.0;3.4336509E7;
OperationGlobalClusteringCoefficient;3.6658358E8;0.0;3.6658358E8;3.6658358E8;
OperationNetworkAverageClusteringCoefficient;1.29685555E8;0.0;1.29685555E8;1.29685555E8;
