operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;798991.0384615385;114262.42458632092;597458.0;1179860.0;
OperationGenerateGraph;2.46072867E8;0.0;2.46072867E8;2.46072867E8;
OperationShutdownGraph;5.029267837730769E9;1.61510120808158E10;275307.0;7.7969128531E10;
OperationDoGC;3.4214673819615383E9;8475053.415310238;3.405371688E9;3.440875573E9;
OperationGetManyVertices;750427.0;0.0;750427.0;750427.0;
OperationGetManyVertexProperties;1940834.0;0.0;1940834.0;1940834.0;
OperationGetManyEdges;893088.0;0.0;893088.0;893088.0;
OperationGetManyEdgeProperties;1819010.0;0.0;1819010.0;1819010.0;
OperationGetFirstNeighbor;47326.689;17201.876183145807;19632.0;402554.0;
OperationGetRandomNeighbor;65875.229;17691.71710051229;17043.0;218401.0;
OperationGetAllNeighbors;48040.224;29360.352851793577;16911.0;391541.0;
OperationGetKFirstNeighbors;50215.7246;29603.39787266243;16514.0;526530.0;
OperationGetKRandomNeighbors;55033.298;37036.440294256085;16928.0;643317.0;
OperationGetKHopNeighbors;1531761.1244;3517750.6423410377;17420.0;4.1802248E7;
OperationGetShortestPath;8685750.076;9574450.135594243;1833.0;3.5124176E7;
OperationGlobalClusteringCoefficient;5.64367881E8;0.0;5.64367881E8;5.64367881E8;
OperationNetworkAverageClusteringCoefficient;2.0197156E8;0.0;2.0197156E8;2.0197156E8;
