operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;953447.6538461539;377232.300458417;767717.0;2368518.0;
OperationGenerateGraph;2.68753861E8;0.0;2.68753861E8;2.68753861E8;
OperationShutdownGraph;4.0924740384615383E9;1.4231763574291668E10;277225.0;7.1498729165E10;
OperationDoGC;3.419009447923077E9;6469806.834716706;3.409691643E9;3.437506714E9;
OperationGetManyVertices;758326.0;0.0;758326.0;758326.0;
OperationGetManyVertexProperties;2122004.0;0.0;2122004.0;2122004.0;
OperationGetManyEdges;1099689.0;0.0;1099689.0;1099689.0;
OperationGetManyEdgeProperties;1835348.0;0.0;1835348.0;1835348.0;
OperationGetFirstNeighbor;32891.594;14090.650942776352;18383.0;342669.0;
OperationGetRandomNeighbor;62948.074;23640.384130350416;16993.0;390141.0;
OperationGetAllNeighbors;34863.369;17574.0141553613;16816.0;339186.0;
OperationGetKFirstNeighbors;60851.6826;39438.44245175332;16332.0;666735.0;
OperationGetKRandomNeighbors;60501.9292;38668.14761239783;15893.0;357306.0;
OperationGetKHopNeighbors;1593406.595;3675866.1866979985;16941.0;4.2721684E7;
OperationGetShortestPath;7770729.83;9228506.189255256;18049.0;3.1487141E7;
OperationGlobalClusteringCoefficient;5.04222232E8;0.0;5.04222232E8;5.04222232E8;
OperationNetworkAverageClusteringCoefficient;2.00419708E8;0.0;2.00419708E8;2.00419708E8;
