operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.842            0.098         0.739           1.173    
OperationGenerateGraph                                257.163            0.000       257.163         257.163    
OperationShutdownGraph                               1702.561         5996.670         0.279       23321.197    
OperationDoGC                                        3436.783            6.537      3427.725        3449.848    
OperationGetManyVertices                                1.245            0.000         1.245           1.245    
OperationGetManyVertexProperties                        2.169            0.000         2.169           2.169    
OperationGetManyEdges                                   1.152            0.000         1.152           1.152    
OperationGetManyEdgeProperties                          2.007            0.000         2.007           2.007    
OperationGetFirstNeighbor                               0.029            0.015         0.019           0.376    
OperationGetRandomNeighbor                              0.042            0.019         0.018           0.364    
OperationGetAllNeighbors                                0.044            0.020         0.018           0.389    
OperationGetKFirstNeighbors                             0.047            0.019         0.020           0.392    
OperationGetKRandomNeighbors                            0.044            0.020         0.019           0.393    
OperationGetKHopNeighbors                               0.141            0.179         0.020           3.487    
OperationGetShortestPath                                8.577            9.838         0.020          32.978    
OperationGlobalClusteringCoefficient                  493.319            0.000       493.319         493.319    
OperationNetworkAverageClusteringCoefficient          198.029            0.000       198.029         198.029    
