operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;786775.2142857143;107498.03167977314;518143.0;904679.0;
OperationGenerateGraph;2.26393237E8;0.0;2.26393237E8;2.26393237E8;
OperationShutdownGraph;3.1335175928571427E8;1.0614124263145771E9;286003.0;4.137804641E9;
OperationDoGC;3.440922161928571E9;9679155.078418316;3.43006942E9;3.469882883E9;
OperationGetManyVertices;1097613.0;0.0;1097613.0;1097613.0;
OperationGetManyVertexProperties;3054303.0;0.0;3054303.0;3054303.0;
OperationGetManyEdges;1031911.0;0.0;1031911.0;1031911.0;
OperationGetManyEdgeProperties;1863412.0;0.0;1863412.0;1863412.0;
OperationGetFirstNeighbor;58369.535;18706.868211883448;40794.0;526888.0;
OperationGetRandomNeighbor;45551.485;23207.423903177503;17525.0;399333.0;
OperationGetAllNeighbors;44162.546;25861.47023333908;17540.0;398206.0;
OperationGetKFirstNeighbors;52959.867;25529.78014510331;20125.0;489706.0;
OperationGetKRandomNeighbors;58474.215;25153.878120694924;19109.0;452926.0;
OperationGetKHopNeighbors;154265.56;264563.7362425855;19399.0;5224276.0;
OperationGetShortestPath;3162125.02;6350968.862435853;3243.0;3.2379206E7;
OperationGlobalClusteringCoefficient;3.49583992E8;0.0;3.49583992E8;3.49583992E8;
OperationNetworkAverageClusteringCoefficient;1.16158371E8;0.0;1.16158371E8;1.16158371E8;
