operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;844423.2857142857;127882.84958755279;609935.0;1150842.0;
OperationGenerateGraph;2.26467975E8;0.0;2.26467975E8;2.26467975E8;
OperationShutdownGraph;2.624575332857143E8;8.860158170104351E8;285479.0;3.454739516E9;
OperationDoGC;3.448573636357143E9;5335866.622085323;3.438877329E9;3.458648526E9;
OperationGetManyVertices;1246273.0;0.0;1246273.0;1246273.0;
OperationGetManyVertexProperties;2124725.0;0.0;2124725.0;2124725.0;
OperationGetManyEdges;1146542.0;0.0;1146542.0;1146542.0;
OperationGetManyEdgeProperties;2094246.0;0.0;2094246.0;2094246.0;
OperationGetFirstNeighbor;59807.776;17734.16608825528;41415.0;443892.0;
OperationGetRandomNeighbor;35347.108;17100.87166375843;18039.0;268400.0;
OperationGetAllNeighbors;43338.779;28067.85033942141;17537.0;502817.0;
OperationGetKFirstNeighbors;54780.02;24357.56637169652;20269.0;550364.0;
OperationGetKRandomNeighbors;49377.905;21140.15128408441;19572.0;259723.0;
OperationGetKHopNeighbors;123901.189;208991.10096034544;19917.0;4035066.0;
OperationGetShortestPath;2770681.59;5579692.170563949;20380.0;3.0075603E7;
OperationGlobalClusteringCoefficient;3.28300883E8;0.0;3.28300883E8;3.28300883E8;
OperationNetworkAverageClusteringCoefficient;1.04507955E8;0.0;1.04507955E8;1.04507955E8;
