operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;847574.2142857143;91274.1510647836;778220.0;1165321.0;
OperationGenerateGraph;2.51668632E8;0.0;2.51668632E8;2.51668632E8;
OperationShutdownGraph;1.109643996357143E9;3.880998770672066E9;309295.0;1.5100078443E10;
OperationDoGC;3.4433703195E9;7867893.923488445;3.431941873E9;3.457262687E9;
OperationGetManyVertices;1214443.0;0.0;1214443.0;1214443.0;
OperationGetManyVertexProperties;2813159.0;0.0;2813159.0;2813159.0;
OperationGetManyEdges;1175072.0;0.0;1175072.0;1175072.0;
OperationGetManyEdgeProperties;2567155.0;0.0;2567155.0;2567155.0;
OperationGetFirstNeighbor;44428.221;18197.66942732389;20028.0;406071.0;
OperationGetRandomNeighbor;47158.811;23136.361170877313;18074.0;475864.0;
OperationGetAllNeighbors;47892.165;24796.229343143594;18230.0;385614.0;
OperationGetKFirstNeighbors;51874.19;24894.07412208579;20341.0;642816.0;
OperationGetKRandomNeighbors;50452.095;19251.34967351574;19495.0;345030.0;
OperationGetKHopNeighbors;129503.545;182759.1539156274;19959.0;4245824.0;
OperationGetShortestPath;6847819.904;8852956.31475423;20921.0;3.6825755E7;
OperationGlobalClusteringCoefficient;4.71657627E8;0.0;4.71657627E8;4.71657627E8;
OperationNetworkAverageClusteringCoefficient;1.82676105E8;0.0;1.82676105E8;1.82676105E8;
