operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;841612.8076923077;55485.3058683934;599358.0;932269.0;
OperationGenerateGraph;2.38182562E8;0.0;2.38182562E8;2.38182562E8;
OperationShutdownGraph;2.444838539E9;7.933078079597041E9;249424.0;3.8856344492E10;
OperationDoGC;3.4198094198846154E9;5607546.289270004;3.412002067E9;3.431418361E9;
OperationGetManyVertices;720220.0;0.0;720220.0;720220.0;
OperationGetManyVertexProperties;2001994.0;0.0;2001994.0;2001994.0;
OperationGetManyEdges;1079803.0;0.0;1079803.0;1079803.0;
OperationGetManyEdgeProperties;1875710.0;0.0;1875710.0;1875710.0;
OperationGetFirstNeighbor;47344.698;18360.71506539972;18706.0;327675.0;
OperationGetRandomNeighbor;34327.84;14670.373574602667;16610.0;316137.0;
OperationGetAllNeighbors;55818.825;33027.7785503411;16735.0;524637.0;
OperationGetKFirstNeighbors;50791.1742;27882.35629832338;15659.0;472674.0;
OperationGetKRandomNeighbors;39794.155;22934.81820339056;16628.0;541627.0;
OperationGetKHopNeighbors;1190298.7738;3066281.577290708;16358.0;4.3552157E7;
OperationGetShortestPath;5791753.778;8256379.366919805;17557.0;3.2199147E7;
OperationGlobalClusteringCoefficient;4.03650199E8;0.0;4.03650199E8;4.03650199E8;
OperationNetworkAverageClusteringCoefficient;1.48110113E8;0.0;1.48110113E8;1.48110113E8;
