operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.853            0.083         0.800           1.134    
OperationGenerateGraph                                231.827            0.000       231.827         231.827    
OperationShutdownGraph                                666.096         2315.151         0.281        9011.322    
OperationDoGC                                        3441.988            7.880      3431.940        3462.285    
OperationGetManyVertices                                1.550            0.000         1.550           1.550    
OperationGetManyVertexProperties                        2.953            0.000         2.953           2.953    
OperationGetManyEdges                                   1.182            0.000         1.182           1.182    
OperationGetManyEdgeProperties                          2.613            0.000         2.613           2.613    
OperationGetFirstNeighbor                               0.032            0.015         0.019           0.396    
OperationGetRandomNeighbor                              0.034            0.020         0.018           0.393    
OperationGetAllNeighbors                                0.033            0.020         0.018           0.480    
OperationGetKFirstNeighbors                             0.040            0.018         0.020           0.447    
OperationGetKRandomNeighbors                            0.046            0.021         0.019           0.487    
OperationGetKHopNeighbors                               0.135            0.195         0.020           4.253    
OperationGetShortestPath                                4.711            7.260         0.021          36.743    
OperationGlobalClusteringCoefficient                  384.586            0.000       384.586         384.586    
OperationNetworkAverageClusteringCoefficient          138.873            0.000       138.873         138.873    
