operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.794            0.143         0.590           1.171    
OperationGenerateGraph                                224.834            0.000       224.834         224.834    
OperationShutdownGraph                                585.889         2021.217         0.285        7870.837    
OperationDoGC                                        3448.311           10.748      3429.172        3469.017    
OperationGetManyVertices                                1.065            0.000         1.065           1.065    
OperationGetManyVertexProperties                        1.973            0.000         1.973           1.973    
OperationGetManyEdges                                   1.051            0.000         1.051           1.051    
OperationGetManyEdgeProperties                          1.843            0.000         1.843           1.843    
OperationGetFirstNeighbor                               0.043            0.019         0.020           0.478    
OperationGetRandomNeighbor                              0.047            0.023         0.018           0.490    
OperationGetAllNeighbors                                0.038            0.022         0.018           0.410    
OperationGetKFirstNeighbors                             0.083            0.027         0.042           0.460    
OperationGetKRandomNeighbors                            0.040            0.023         0.019           0.646    
OperationGetKHopNeighbors                               0.129            0.204         0.020           3.337    
OperationGetShortestPath                                4.135            6.990         0.020          31.078    
OperationGlobalClusteringCoefficient                  373.314            0.000       373.314         373.314    
OperationNetworkAverageClusteringCoefficient          132.177            0.000       132.177         132.177    
