operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;765823.5769230769;125353.99956098886;566196.0;1161474.0;
OperationGenerateGraph;2.28391885E8;0.0;2.28391885E8;2.28391885E8;
OperationShutdownGraph;3.1703973325384617E9;1.1251413758405956E10;289107.0;5.7133829263E10;
OperationDoGC;3.4186229211923075E9;8105026.357123276;3.405968426E9;3.438483818E9;
OperationGetManyVertices;741169.0;0.0;741169.0;741169.0;
OperationGetManyVertexProperties;2075010.0;0.0;2075010.0;2075010.0;
OperationGetManyEdges;1004217.0;0.0;1004217.0;1004217.0;
OperationGetManyEdgeProperties;1898890.0;0.0;1898890.0;1898890.0;
OperationGetFirstNeighbor;35222.749;14127.651555584142;20181.0;370390.0;
OperationGetRandomNeighbor;43104.986;18960.44109285972;17402.0;343697.0;
OperationGetAllNeighbors;50903.512;23378.79768606281;17115.0;254554.0;
OperationGetKFirstNeighbors;56108.8202;41192.562936344126;16197.0;576175.0;
OperationGetKRandomNeighbors;54075.2886;26067.170789376254;17598.0;525108.0;
OperationGetKHopNeighbors;1461238.0586;3533274.385154544;17627.0;5.3700213E7;
OperationGetShortestPath;6462633.256;8768401.320811147;2118.0;3.5964374E7;
OperationGlobalClusteringCoefficient;4.5455767E8;0.0;4.5455767E8;4.5455767E8;
OperationNetworkAverageClusteringCoefficient;1.70910241E8;0.0;1.70910241E8;1.70910241E8;
