operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.848            0.091         0.778           1.165    
OperationGenerateGraph                                251.669            0.000       251.669         251.669    
OperationShutdownGraph                               1109.644         3880.999         0.309       15100.078    
OperationDoGC                                        3443.370            7.868      3431.942        3457.263    
OperationGetManyVertices                                1.214            0.000         1.214           1.214    
OperationGetManyVertexProperties                        2.813            0.000         2.813           2.813    
OperationGetManyEdges                                   1.175            0.000         1.175           1.175    
OperationGetManyEdgeProperties                          2.567            0.000         2.567           2.567    
OperationGetFirstNeighbor                               0.044            0.018         0.020           0.406    
OperationGetRandomNeighbor                              0.047            0.023         0.018           0.476    
OperationGetAllNeighbors                                0.048            0.025         0.018           0.386    
OperationGetKFirstNeighbors                             0.052            0.025         0.020           0.643    
OperationGetKRandomNeighbors                            0.050            0.019         0.019           0.345    
OperationGetKHopNeighbors                               0.130            0.183         0.020           4.246    
OperationGetShortestPath                                6.848            8.853         0.021          36.826    
OperationGlobalClusteringCoefficient                  471.658            0.000       471.658         471.658    
OperationNetworkAverageClusteringCoefficient          182.676            0.000       182.676         182.676    
