operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.803            0.059         0.600           0.918    
OperationGenerateGraph                                222.538            0.000       222.538         222.538    
OperationShutdownGraph                               1375.264         4292.953         0.254       20569.191    
OperationDoGC                                        3421.467            8.894      3413.206        3450.800    
OperationGetManyVertices                                0.714            0.000         0.714           0.714    
OperationGetManyVertexProperties                        2.018            0.000         2.018           2.018    
OperationGetManyEdges                                   0.998            0.000         0.998           0.998    
OperationGetManyEdgeProperties                          1.913            0.000         1.913           1.913    
OperationGetFirstNeighbor                               0.027            0.011         0.019           0.263    
OperationGetRandomNeighbor                              0.033            0.017         0.017           0.344    
OperationGetAllNeighbors                                0.035            0.020         0.016           0.313    
OperationGetKFirstNeighbors                             0.053            0.033         0.016           0.449    
OperationGetKRandomNeighbors                            0.053            0.036         0.016           0.573    
OperationGetKHopNeighbors                               0.823            2.427         0.017          31.450    
OperationGetShortestPath                                3.304            5.983         0.002          30.307    
OperationGlobalClusteringCoefficient                  354.622            0.000       354.622         354.622    
OperationNetworkAverageClusteringCoefficient          121.035            0.000       121.035         121.035    
