operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.787            0.107         0.518           0.905    
OperationGenerateGraph                                226.393            0.000       226.393         226.393    
OperationShutdownGraph                                313.352         1061.412         0.286        4137.805    
OperationDoGC                                        3440.922            9.679      3430.069        3469.883    
OperationGetManyVertices                                1.098            0.000         1.098           1.098    
OperationGetManyVertexProperties                        3.054            0.000         3.054           3.054    
OperationGetManyEdges                                   1.032            0.000         1.032           1.032    
OperationGetManyEdgeProperties                          1.863            0.000         1.863           1.863    
OperationGetFirstNeighbor                               0.058            0.019         0.041           0.527    
OperationGetRandomNeighbor                              0.046            0.023         0.018           0.399    
OperationGetAllNeighbors                                0.044            0.026         0.018           0.398    
OperationGetKFirstNeighbors                             0.053            0.026         0.020           0.490    
OperationGetKRandomNeighbors                            0.058            0.025         0.019           0.453    
OperationGetKHopNeighbors                               0.154            0.265         0.019           5.224    
OperationGetShortestPath                                3.162            6.351         0.003          32.379    
OperationGlobalClusteringCoefficient                  349.584            0.000       349.584         349.584    
OperationNetworkAverageClusteringCoefficient          116.158            0.000       116.158         116.158    
