operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;803454.5;58799.60347148479;600425.0;917514.0;
OperationGenerateGraph;2.2253776E8;0.0;2.2253776E8;2.2253776E8;
OperationShutdownGraph;1.3752638483461537E9;4.2929532894748898E9;253964.0;2.0569191199E10;
OperationDoGC;3.4214670081538463E9;8894451.119358007;3.413206363E9;3.45079969E9;
OperationGetManyVertices;713975.0;0.0;713975.0;713975.0;
OperationGetManyVertexProperties;2017571.0;0.0;2017571.0;2017571.0;
OperationGetManyEdges;997616.0;0.0;997616.0;997616.0;
OperationGetManyEdgeProperties;1912663.0;0.0;1912663.0;1912663.0;
OperationGetFirstNeighbor;27280.435;11249.568290284511;19037.0;263236.0;
OperationGetRandomNeighbor;33410.002;16691.464048069487;16801.0;343849.0;
OperationGetAllNeighbors;35321.452;20371.216212138545;15648.0;312971.0;
OperationGetKFirstNeighbors;52522.5144;32725.39410386668;16021.0;448839.0;
OperationGetKRandomNeighbors;53061.8366;35816.36673928136;16066.0;573360.0;
OperationGetKHopNeighbors;823272.6432;2426742.573580281;16769.0;3.1450195E7;
OperationGetShortestPath;3303797.232;5982767.802060443;1788.0;3.0307157E7;
OperationGlobalClusteringCoefficient;3.54621614E8;0.0;3.54621614E8;3.54621614E8;
OperationNetworkAverageClusteringCoefficient;1.2103541E8;0.0;1.2103541E8;1.2103541E8;
