operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.953            0.377         0.768           2.369    
OperationGenerateGraph                                268.754            0.000       268.754         268.754    
OperationShutdownGraph                               4092.474        14231.764         0.277       71498.729    
OperationDoGC                                        3419.009            6.470      3409.692        3437.507    
OperationGetManyVertices                                0.758            0.000         0.758           0.758    
OperationGetManyVertexProperties                        2.122            0.000         2.122           2.122    
OperationGetManyEdges                                   1.100            0.000         1.100           1.100    
OperationGetManyEdgeProperties                          1.835            0.000         1.835           1.835    
OperationGetFirstNeighbor                               0.033            0.014         0.018           0.343    
OperationGetRandomNeighbor                              0.063            0.024         0.017           0.390    
OperationGetAllNeighbors                                0.035            0.018         0.017           0.339    
OperationGetKFirstNeighbors                             0.061            0.039         0.016           0.667    
OperationGetKRandomNeighbors                            0.061            0.039         0.016           0.357    
OperationGetKHopNeighbors                               1.593            3.676         0.017          42.722    
OperationGetShortestPath                                7.771            9.229         0.018          31.487    
OperationGlobalClusteringCoefficient                  504.222            0.000       504.222         504.222    
OperationNetworkAverageClusteringCoefficient          200.420            0.000       200.420         200.420    
