operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;786506.0384615385;90887.74573212687;586247.0;885694.0;
OperationGenerateGraph;2.40490542E8;0.0;2.40490542E8;2.40490542E8;
OperationShutdownGraph;3.335119228E9;1.1069516225821962E10;283343.0;5.4611761159E10;
OperationDoGC;3.418634223230769E9;6898245.169526514;3.408458876E9;3.433788288E9;
OperationGetManyVertices;765316.0;0.0;765316.0;765316.0;
OperationGetManyVertexProperties;2258624.0;0.0;2258624.0;2258624.0;
OperationGetManyEdges;1171132.0;0.0;1171132.0;1171132.0;
OperationGetManyEdgeProperties;1971659.0;0.0;1971659.0;1971659.0;
OperationGetFirstNeighbor;30375.885;11933.201281708742;19706.0;314028.0;
OperationGetRandomNeighbor;33399.529;13314.871904872345;17532.0;358343.0;
OperationGetAllNeighbors;47222.398;19593.722165673276;17257.0;336263.0;
OperationGetKFirstNeighbors;50574.02;25824.372338556448;16891.0;601949.0;
OperationGetKRandomNeighbors;43117.2714;24664.551735479396;16671.0;537785.0;
OperationGetKHopNeighbors;1408392.5638;3380957.676787444;17721.0;3.8058084E7;
OperationGetShortestPath;7577915.218;9279270.802036531;18278.0;3.3165231E7;
OperationGlobalClusteringCoefficient;4.63122729E8;0.0;4.63122729E8;4.63122729E8;
OperationNetworkAverageClusteringCoefficient;1.68840255E8;0.0;1.68840255E8;1.68840255E8;
