operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;853428.2857142857;82837.2193740993;800363.0;1134332.0;
OperationGenerateGraph;2.31827123E8;0.0;2.31827123E8;2.31827123E8;
OperationShutdownGraph;6.660955204285715E8;2.3151508698881874E9;281036.0;9.011322106E9;
OperationDoGC;3.441987535071429E9;7879569.876447622;3.431939751E9;3.462285112E9;
OperationGetManyVertices;1549555.0;0.0;1549555.0;1549555.0;
OperationGetManyVertexProperties;2953496.0;0.0;2953496.0;2953496.0;
OperationGetManyEdges;1181676.0;0.0;1181676.0;1181676.0;
OperationGetManyEdgeProperties;2613274.0;0.0;2613274.0;2613274.0;
OperationGetFirstNeighbor;32248.118;14983.440174875594;19423.0;396276.0;
OperationGetRandomNeighbor;34480.096;19580.62600017639;17974.0;392888.0;
OperationGetAllNeighbors;33132.298;20138.18959423107;17612.0;479966.0;
OperationGetKFirstNeighbors;40422.234;18087.302643822943;20114.0;446735.0;
OperationGetKRandomNeighbors;45501.15;21347.03938642308;18935.0;487175.0;
OperationGetKHopNeighbors;135132.877;195115.02160222805;19750.0;4253293.0;
OperationGetShortestPath;4710598.922;7259510.909134013;20522.0;3.6743236E7;
OperationGlobalClusteringCoefficient;3.84586242E8;0.0;3.84586242E8;3.84586242E8;
OperationNetworkAverageClusteringCoefficient;1.38873008E8;0.0;1.38873008E8;1.38873008E8;
