operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;921688.2692307692;632021.6585967214;573050.0;4050023.0;
OperationGenerateGraph;2.51255251E8;0.0;2.51255251E8;2.51255251E8;
OperationShutdownGraph;3.3338567453076925E9;1.1370538646873287E10;274142.0;5.7072145089E10;
OperationDoGC;3.42043859E9;5282989.94614942;3.411147866E9;3.435922629E9;
OperationGetManyVertices;721852.0;0.0;721852.0;721852.0;
OperationGetManyVertexProperties;2793599.0;0.0;2793599.0;2793599.0;
OperationGetManyEdges;1126141.0;0.0;1126141.0;1126141.0;
OperationGetManyEdgeProperties;2041781.0;0.0;2041781.0;2041781.0;
OperationGetFirstNeighbor;27832.6;10882.119447240068;19295.0;307713.0;
OperationGetRandomNeighbor;46584.314;24291.584142566837;16804.0;365731.0;
OperationGetAllNeighbors;39584.389;22954.473492190566;19768.0;368474.0;
OperationGetKFirstNeighbors;50728.682;28387.081641149278;16379.0;423514.0;
OperationGetKRandomNeighbors;41559.0612;23154.817614506348;17034.0;394911.0;
OperationGetKHopNeighbors;1070336.068;2923412.813693026;16516.0;4.3389438E7;
OperationGetShortestPath;4772446.344;7426797.085566476;1764.0;3.3037776E7;
OperationGlobalClusteringCoefficient;4.00286016E8;0.0;4.00286016E8;4.00286016E8;
OperationNetworkAverageClusteringCoefficient;1.44018149E8;0.0;1.44018149E8;1.44018149E8;
