operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;962125.5;401608.08132427355;609978.0;2357519.0;
OperationGenerateGraph;2.43251298E8;0.0;2.43251298E8;2.43251298E8;
OperationShutdownGraph;1.653424467642857E9;5.8015503790167465E9;278882.0;2.2567636848E10;
OperationDoGC;3.456792426071429E9;6656664.613324673;3.444230798E9;3.466299702E9;
OperationGetManyVertices;1197443.0;0.0;1197443.0;1197443.0;
OperationGetManyVertexProperties;3902849.0;0.0;3902849.0;3902849.0;
OperationGetManyEdges;1079176.0;0.0;1079176.0;1079176.0;
OperationGetManyEdgeProperties;2995492.0;0.0;2995492.0;2995492.0;
OperationGetFirstNeighbor;55696.089;16288.755376058627;19935.0;351494.0;
OperationGetRandomNeighbor;44460.089;17157.456953554607;18345.0;229629.0;
OperationGetAllNeighbors;34766.985;20692.30357753274;18002.0;404990.0;
OperationGetKFirstNeighbors;40278.384;18521.873891983625;20467.0;521780.0;
OperationGetKRandomNeighbors;45523.394;17672.036634037515;19688.0;392820.0;
OperationGetKHopNeighbors;191599.909;261760.01629330398;20244.0;3403101.0;
OperationGetShortestPath;8427547.078;9542787.485612983;21074.0;3.1616045E7;
OperationGlobalClusteringCoefficient;5.01838003E8;0.0;5.01838003E8;5.01838003E8;
OperationNetworkAverageClusteringCoefficient;2.07597628E8;0.0;2.07597628E8;2.07597628E8;
