operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.867            0.079         0.814           1.123    
OperationGenerateGraph                                244.891            0.000       244.891         244.891    
OperationShutdownGraph                               1471.489         5149.898         0.293       20036.251    
OperationDoGC                                        3449.670            6.287      3442.497        3462.898    
OperationGetManyVertices                                1.134            0.000         1.134           1.134    
OperationGetManyVertexProperties                        2.880            0.000         2.880           2.880    
OperationGetManyEdges                                   1.203            0.000         1.203           1.203    
OperationGetManyEdgeProperties                          1.928            0.000         1.928           1.928    
OperationGetFirstNeighbor                               0.029            0.014         0.020           0.386    
OperationGetRandomNeighbor                              0.040            0.019         0.018           0.392    
OperationGetAllNeighbors                                0.039            0.023         0.018           0.522    
OperationGetKFirstNeighbors                             0.051            0.022         0.021           0.225    
OperationGetKRandomNeighbors                            0.044            0.024         0.019           0.563    
OperationGetKHopNeighbors                               0.130            0.199         0.020           3.629    
OperationGetShortestPath                                5.534            7.967         0.020          33.607    
OperationGlobalClusteringCoefficient                  404.044            0.000       404.044         404.044    
OperationNetworkAverageClusteringCoefficient          151.155            0.000       151.155         151.155    
