operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;845812.1428571428;115628.10267148797;641593.0;1162878.0;
OperationGenerateGraph;2.56285661E8;0.0;2.56285661E8;2.56285661E8;
OperationShutdownGraph;1.7074161827857144E9;5.98337936687548E9;318689.0;2.3277024515E10;
OperationDoGC;3.437212034714286E9;4927387.371897714;3.426871045E9;3.445345251E9;
OperationGetManyVertices;1216372.0;0.0;1216372.0;1216372.0;
OperationGetManyVertexProperties;2130738.0;0.0;2130738.0;2130738.0;
OperationGetManyEdges;1183478.0;0.0;1183478.0;1183478.0;
OperationGetManyEdgeProperties;2003718.0;0.0;2003718.0;2003718.0;
OperationGetFirstNeighbor;33538.592;16661.082840606003;19258.0;383569.0;
OperationGetRandomNeighbor;37453.846;18277.52993438348;17522.0;407311.0;
OperationGetAllNeighbors;40196.59;21407.74637517693;17624.0;411960.0;
OperationGetKFirstNeighbors;46329.972;22601.72451653228;20269.0;497616.0;
OperationGetKRandomNeighbors;51445.122;23932.180364336156;18813.0;479264.0;
OperationGetKHopNeighbors;143131.373;217574.9092947022;19622.0;3986164.0;
OperationGetShortestPath;6277547.606;8498640.619980158;20163.0;3.1684406E7;
OperationGlobalClusteringCoefficient;4.297577E8;0.0;4.297577E8;4.297577E8;
OperationNetworkAverageClusteringCoefficient;1.5945805E8;0.0;1.5945805E8;1.5945805E8;
