operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.962            0.402         0.610           2.358    
OperationGenerateGraph                                243.251            0.000       243.251         243.251    
OperationShutdownGraph                               1653.424         5801.550         0.279       22567.637    
OperationDoGC                                        3456.792            6.657      3444.231        3466.300    
OperationGetManyVertices                                1.197            0.000         1.197           1.197    
OperationGetManyVertexProperties                        3.903            0.000         3.903           3.903    
OperationGetManyEdges                                   1.079            0.000         1.079           1.079    
OperationGetManyEdgeProperties                          2.995            0.000         2.995           2.995    
OperationGetFirstNeighbor                               0.056            0.016         0.020           0.351    
OperationGetRandomNeighbor                              0.044            0.017         0.018           0.230    
OperationGetAllNeighbors                                0.035            0.021         0.018           0.405    
OperationGetKFirstNeighbors                             0.040            0.019         0.020           0.522    
OperationGetKRandomNeighbors                            0.046            0.018         0.020           0.393    
OperationGetKHopNeighbors                               0.192            0.262         0.020           3.403    
OperationGetShortestPath                                8.428            9.543         0.021          31.616    
OperationGlobalClusteringCoefficient                  501.838            0.000       501.838         501.838    
OperationNetworkAverageClusteringCoefficient          207.598            0.000       207.598         207.598    
