operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.844            0.128         0.610           1.151    
OperationGenerateGraph                                226.468            0.000       226.468         226.468    
OperationShutdownGraph                                262.458          886.016         0.285        3454.740    
OperationDoGC                                        3448.574            5.336      3438.877        3458.649    
OperationGetManyVertices                                1.246            0.000         1.246           1.246    
OperationGetManyVertexProperties                        2.125            0.000         2.125           2.125    
OperationGetManyEdges                                   1.147            0.000         1.147           1.147    
OperationGetManyEdgeProperties                          2.094            0.000         2.094           2.094    
OperationGetFirstNeighbor                               0.060            0.018         0.041           0.444    
OperationGetRandomNeighbor                              0.035            0.017         0.018           0.268    
OperationGetAllNeighbors                                0.043            0.028         0.018           0.503    
OperationGetKFirstNeighbors                             0.055            0.024         0.020           0.550    
OperationGetKRandomNeighbors                            0.049            0.021         0.020           0.260    
OperationGetKHopNeighbors                               0.124            0.209         0.020           4.035    
OperationGetShortestPath                                2.771            5.580         0.020          30.076    
OperationGlobalClusteringCoefficient                  328.301            0.000       328.301         328.301    
OperationNetworkAverageClusteringCoefficient          104.508            0.000       104.508         104.508    
