operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.846            0.116         0.642           1.163    
OperationGenerateGraph                                256.286            0.000       256.286         256.286    
OperationShutdownGraph                               1707.416         5983.379         0.319       23277.025    
OperationDoGC                                        3437.212            4.927      3426.871        3445.345    
OperationGetManyVertices                                1.216            0.000         1.216           1.216    
OperationGetManyVertexProperties                        2.131            0.000         2.131           2.131    
OperationGetManyEdges                                   1.183            0.000         1.183           1.183    
OperationGetManyEdgeProperties                          2.004            0.000         2.004           2.004    
OperationGetFirstNeighbor                               0.034            0.017         0.019           0.384    
OperationGetRandomNeighbor                              0.037            0.018         0.018           0.407    
OperationGetAllNeighbors                                0.040            0.021         0.018           0.412    
OperationGetKFirstNeighbors                             0.046            0.023         0.020           0.498    
OperationGetKRandomNeighbors                            0.051            0.024         0.019           0.479    
OperationGetKHopNeighbors                               0.143            0.218         0.020           3.986    
OperationGetShortestPath                                6.278            8.499         0.020          31.684    
OperationGlobalClusteringCoefficient                  429.758            0.000       429.758         429.758    
OperationNetworkAverageClusteringCoefficient          159.458            0.000       159.458         159.458    
