operation;dex-mean;dex-stdev;dex-min;dex-max;
OperationOpenGraph;798115.1923076923;75946.52704421975;597188.0;914386.0;
OperationGenerateGraph;2.1813817E8;0.0;2.1813817E8;2.1813817E8;
OperationShutdownGraph;1.0603003629230769E9;3.7056947150410953E9;259203.0;1.8793225803E10;
OperationDoGC;3.4128614683461537E9;5592240.748059177;3.404150863E9;3.426918608E9;
OperationGetManyVertices;1622023.0;0.0;1622023.0;1622023.0;
OperationGetManyVertexProperties;2128509.0;0.0;2128509.0;2128509.0;
OperationGetManyEdges;1011899.0;0.0;1011899.0;1011899.0;
OperationGetManyEdgeProperties;1943094.0;0.0;1943094.0;1943094.0;
OperationGetFirstNeighbor;30949.583;11652.31563291653;19970.0;307456.0;
OperationGetRandomNeighbor;34792.858;13895.21223047118;19280.0;245472.0;
OperationGetAllNeighbors;35982.576;21660.982838279142;17695.0;276804.0;
OperationGetKFirstNeighbors;46737.1632;28598.769654923377;16502.0;441779.0;
OperationGetKRandomNeighbors;45125.2886;26011.30947446725;17013.0;480709.0;
OperationGetKHopNeighbors;768167.2186;2450813.901714153;17350.0;3.4836591E7;
OperationGetShortestPath;2349912.416;5238630.495422162;18966.0;2.7392152E7;
OperationGlobalClusteringCoefficient;3.37894465E8;0.0;3.37894465E8;3.37894465E8;
OperationNetworkAverageClusteringCoefficient;1.07539256E8;0.0;1.07539256E8;1.07539256E8;
