operation                                       dex-mean (ms)   dex-stdev (ms)  dex-min (ms)    dex-max (ms)    
OperationOpenGraph                                      0.787            0.091         0.586           0.886    
OperationGenerateGraph                                240.491            0.000       240.491         240.491    
OperationShutdownGraph                               3335.119        11069.516         0.283       54611.761    
OperationDoGC                                        3418.634            6.898      3408.459        3433.788    
OperationGetManyVertices                                0.765            0.000         0.765           0.765    
OperationGetManyVertexProperties                        2.259            0.000         2.259           2.259    
OperationGetManyEdges                                   1.171            0.000         1.171           1.171    
OperationGetManyEdgeProperties                          1.972            0.000         1.972           1.972    
OperationGetFirstNeighbor                               0.030            0.012         0.020           0.314    
OperationGetRandomNeighbor                              0.033            0.013         0.018           0.358    
OperationGetAllNeighbors                                0.047            0.020         0.017           0.336    
OperationGetKFirstNeighbors                             0.051            0.026         0.017           0.602    
OperationGetKRandomNeighbors                            0.043            0.025         0.017           0.538    
OperationGetKHopNeighbors                               1.408            3.381         0.018          38.058    
OperationGetShortestPath                                7.578            9.279         0.018          33.165    
OperationGlobalClusteringCoefficient                  463.123            0.000       463.123         463.123    
OperationNetworkAverageClusteringCoefficient          168.840            0.000       168.840         168.840    
