operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1597183423076924E7;677326.9429321283;9777097.0;1.2681616E7;
OperationGenerateGraph;2.722149446E9;0.0;2.722149446E9;2.722149446E9;
OperationShutdownGraph;516295.92307692306;348022.7773285185;195822.0;1486495.0;
OperationDoGC;3.4976232150384617E9;9159819.247911008;3.481191309E9;3.514287273E9;
OperationGetManyVertices;1.23008917E8;0.0;1.23008917E8;1.23008917E8;
OperationGetManyVertexProperties;1.37697681E8;0.0;1.37697681E8;1.37697681E8;
OperationGetManyEdges;1.75604031E8;0.0;1.75604031E8;1.75604031E8;
OperationGetManyEdgeProperties;2.03334623E8;0.0;2.03334623E8;2.03334623E8;
OperationGetFirstNeighbor;224112.816;102369.35731136614;59677.0;740672.0;
OperationGetRandomNeighbor;288941.101;115751.95728335137;57927.0;1098713.0;
OperationGetAllNeighbors;692498.047;683163.3601422455;55635.0;1.1495501E7;
OperationGetKFirstNeighbors;461293.1588;480487.3655099175;55258.0;2.2750341E7;
OperationGetKRandomNeighbors;405523.5846;256715.1707895914;42173.0;2262473.0;
OperationGetKHopNeighbors;6.54867304164E7;1.3437781301372138E8;54902.0;6.69836205E8;
OperationGetShortestPath;5.1905330114E7;5.3790565527851835E7;871539.0;1.36999357E8;
OperationGlobalClusteringCoefficient;2.9953762323E10;0.0;2.9953762323E10;2.9953762323E10;
OperationNetworkAverageClusteringCoefficient;1.1209769198E10;0.0;1.1209769198E10;1.1209769198E10;
