operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.0941674538461538E7;1361936.4145223303;8002131.0;1.3048845E7;
OperationGenerateGraph;2.064033656E9;0.0;2.064033656E9;2.064033656E9;
OperationShutdownGraph;555065.7692307692;442913.05919136596;164832.0;1847446.0;
OperationDoGC;3.504880844269231E9;9159513.22994079;3.488558511E9;3.523411218E9;
OperationGetManyVertices;1.14386721E8;0.0;1.14386721E8;1.14386721E8;
OperationGetManyVertexProperties;1.31968577E8;0.0;1.31968577E8;1.31968577E8;
OperationGetManyEdges;2.18104201E8;0.0;2.18104201E8;2.18104201E8;
OperationGetManyEdgeProperties;1.70378925E8;0.0;1.70378925E8;1.70378925E8;
OperationGetFirstNeighbor;166783.172;54037.89839879432;57500.0;471990.0;
OperationGetRandomNeighbor;212227.858;90789.31962901716;44440.0;781927.0;
OperationGetAllNeighbors;629642.475;661192.0268085973;67526.0;1.1438474E7;
OperationGetKFirstNeighbors;479207.965;542275.3612981406;56815.0;3.2363824E7;
OperationGetKRandomNeighbors;394752.0906;234447.07204936238;53590.0;1260761.0;
OperationGetKHopNeighbors;4.79847136084E7;1.1403927884168546E8;45564.0;6.7278937E8;
OperationGetShortestPath;3.2884637746E7;4.59574838206359E7;870455.0;1.33394041E8;
OperationGlobalClusteringCoefficient;2.2455970873E10;0.0;2.2455970873E10;2.2455970873E10;
OperationNetworkAverageClusteringCoefficient;6.694123529E9;0.0;6.694123529E9;6.694123529E9;
