operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.597            0.677         9.777          12.682    
OperationGenerateGraph                               2722.149            0.000      2722.149        2722.149    
OperationShutdownGraph                                  0.516            0.348         0.196           1.486    
OperationDoGC                                        3497.623            9.160      3481.191        3514.287    
OperationGetManyVertices                              123.009            0.000       123.009         123.009    
OperationGetManyVertexProperties                      137.698            0.000       137.698         137.698    
OperationGetManyEdges                                 175.604            0.000       175.604         175.604    
OperationGetManyEdgeProperties                        203.335            0.000       203.335         203.335    
OperationGetFirstNeighbor                               0.224            0.102         0.060           0.741    
OperationGetRandomNeighbor                              0.289            0.116         0.058           1.099    
OperationGetAllNeighbors                                0.692            0.683         0.056          11.496    
OperationGetKFirstNeighbors                             0.461            0.480         0.055          22.750    
OperationGetKRandomNeighbors                            0.406            0.257         0.042           2.262    
OperationGetKHopNeighbors                              65.487          134.378         0.055         669.836    
OperationGetShortestPath                               51.905           53.791         0.872         136.999    
OperationGlobalClusteringCoefficient                29953.762            0.000     29953.762       29953.762    
OperationNetworkAverageClusteringCoefficient        11209.769            0.000     11209.769       11209.769    
