operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     12.291            1.035        10.075          13.570    
OperationGenerateGraph                               2524.790            0.000      2524.790        2524.790    
OperationShutdownGraph                                  0.583            0.519         0.226           2.230    
OperationDoGC                                        3496.428            4.914      3486.073        3505.556    
OperationGetManyVertices                              114.813            0.000       114.813         114.813    
OperationGetManyVertexProperties                      147.931            0.000       147.931         147.931    
OperationGetManyEdges                                  93.303            0.000        93.303          93.303    
OperationGetManyEdgeProperties                        201.331            0.000       201.331         201.331    
OperationGetFirstNeighbor                               0.344            0.113         0.062           0.612    
OperationGetRandomNeighbor                              0.325            0.108         0.061           0.637    
OperationGetAllNeighbors                                0.753            0.936         0.071          18.653    
OperationGetKFirstNeighbors                             0.489            0.159         0.080           0.988    
OperationGetKRandomNeighbors                            0.437            0.151         0.077           1.763    
OperationGetKHopNeighbors                               4.678            4.792         0.069          48.542    
OperationGetShortestPath                               51.217           54.987         0.915         148.480    
OperationGlobalClusteringCoefficient                30145.256            0.000     30145.256       30145.256    
OperationNetworkAverageClusteringCoefficient        12201.142            0.000     12201.142       12201.142    
