operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1873932642857144E7;981224.4707542427;9376021.0;1.4059563E7;
OperationGenerateGraph;1.685224802E9;0.0;1.685224802E9;1.685224802E9;
OperationShutdownGraph;597636.2857142857;539447.9029871227;197976.0;2184856.0;
OperationDoGC;3.510219729428571E9;5604089.999345347;3.502004246E9;3.521913781E9;
OperationGetManyVertices;1.20782165E8;0.0;1.20782165E8;1.20782165E8;
OperationGetManyVertexProperties;1.23207138E8;0.0;1.23207138E8;1.23207138E8;
OperationGetManyEdges;1.31939987E8;0.0;1.31939987E8;1.31939987E8;
OperationGetManyEdgeProperties;1.79387302E8;0.0;1.79387302E8;1.79387302E8;
OperationGetFirstNeighbor;344819.953;103577.76610649019;79474.0;725076.0;
OperationGetRandomNeighbor;301986.992;106556.20770390598;64800.0;768888.0;
OperationGetAllNeighbors;672873.401;652362.9456258011;66413.0;9892077.0;
OperationGetKFirstNeighbors;430657.897;152926.50142977305;83295.0;934979.0;
OperationGetKRandomNeighbors;239826.796;106514.35330426782;58569.0;643649.0;
OperationGetKHopNeighbors;4851834.367;9098227.452976055;91813.0;1.96414073E8;
OperationGetShortestPath;3.5951201608E7;4.742171227445181E7;868771.0;1.39457323E8;
OperationGlobalClusteringCoefficient;2.4241284463E10;0.0;2.4241284463E10;2.4241284463E10;
OperationNetworkAverageClusteringCoefficient;8.838228099E9;0.0;8.838228099E9;8.838228099E9;
