operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.139617876923077E7;1297745.1904673353;7931884.0;1.383877E7;
OperationGenerateGraph;2.347321145E9;0.0;2.347321145E9;2.347321145E9;
OperationShutdownGraph;553882.8076923077;481056.82278596214;177528.0;2056046.0;
OperationDoGC;3.498077571230769E9;6201179.552321207;3.485223276E9;3.51510229E9;
OperationGetManyVertices;1.30359016E8;0.0;1.30359016E8;1.30359016E8;
OperationGetManyVertexProperties;1.99832173E8;0.0;1.99832173E8;1.99832173E8;
OperationGetManyEdges;1.54180643E8;0.0;1.54180643E8;1.54180643E8;
OperationGetManyEdgeProperties;2.31318224E8;0.0;2.31318224E8;2.31318224E8;
OperationGetFirstNeighbor;334701.317;117419.5908323246;60892.0;626889.0;
OperationGetRandomNeighbor;298247.728;116361.70589836684;58740.0;693109.0;
OperationGetAllNeighbors;633023.487;681428.9939897793;56379.0;1.6340653E7;
OperationGetKFirstNeighbors;476554.0326;467875.7137804546;55599.0;1.6470244E7;
OperationGetKRandomNeighbors;475507.22;277549.7345774617;58010.0;2272557.0;
OperationGetKHopNeighbors;7.36244526982E7;1.4087412908837608E8;40898.0;6.80283663E8;
OperationGetShortestPath;5.9982035346E7;5.684314829491453E7;871476.0;1.50204917E8;
OperationGlobalClusteringCoefficient;3.3736966633E10;0.0;3.3736966633E10;3.3736966633E10;
OperationNetworkAverageClusteringCoefficient;1.4201212928E10;0.0;1.4201212928E10;1.4201212928E10;
