operation                                       sql-mean (ms)   sql-stdev (ms)  sql-min (ms)    sql-max (ms)    
OperationOpenGraph                                     11.808            0.969         9.333          13.350    
OperationGenerateGraph                               2231.091            0.000      2231.091        2231.091    
OperationShutdownGraph                                  0.607            0.419         0.284           1.465    
OperationDoGC                                        3501.659            9.485      3488.503        3519.131    
OperationGetManyVertices                              134.129            0.000       134.129         134.129    
OperationGetManyVertexProperties                      115.099            0.000       115.099         115.099    
OperationGetManyEdges                                 227.010            0.000       227.010         227.010    
OperationGetManyEdgeProperties                        199.907            0.000       199.907         199.907    
OperationGetFirstNeighbor                               0.370            0.094         0.126           0.640    
OperationGetRandomNeighbor                              0.206            0.091         0.060           0.608    
OperationGetAllNeighbors                                0.570            0.475         0.062           5.293    
OperationGetKFirstNeighbors                             0.463            0.164         0.064           0.997    
OperationGetKRandomNeighbors                            0.417            0.152         0.070           1.065    
OperationGetKHopNeighbors                               3.796            4.641         0.059          54.174    
OperationGetShortestPath                               44.929           51.673         0.900         143.549    
OperationGlobalClusteringCoefficient                26246.899            0.000     26246.899       26246.899    
OperationNetworkAverageClusteringCoefficient        10336.662            0.000     10336.662       10336.662    
