operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.17939655E7;912807.5523424862;8754403.0;1.4259092E7;
OperationGenerateGraph;1.435752791E9;0.0;1.435752791E9;1.435752791E9;
OperationShutdownGraph;545180.8076923077;436775.5870422229;181580.0;1810695.0;
OperationDoGC;3.500900111730769E9;5348943.704747382;3.492665738E9;3.513911947E9;
OperationGetManyVertices;1.57269992E8;0.0;1.57269992E8;1.57269992E8;
OperationGetManyVertexProperties;1.3889403E8;0.0;1.3889403E8;1.3889403E8;
OperationGetManyEdges;1.58940023E8;0.0;1.58940023E8;1.58940023E8;
OperationGetManyEdgeProperties;2.01904997E8;0.0;2.01904997E8;2.01904997E8;
OperationGetFirstNeighbor;149023.251;45904.157853706485;60995.0;348799.0;
OperationGetRandomNeighbor;251766.157;111933.71871473918;45552.0;1155750.0;
OperationGetAllNeighbors;545988.814;680098.4144463352;54119.0;9864754.0;
OperationGetKFirstNeighbors;418996.3412;302859.32766895567;42438.0;1763825.0;
OperationGetKRandomNeighbors;359674.242;241562.80980678677;42128.0;1435193.0;
OperationGetKHopNeighbors;3.1134108322E7;9.553598398221496E7;53116.0;6.60630811E8;
OperationGetShortestPath;1.3879333674E7;2.6724556617534168E7;878700.0;1.31439403E8;
OperationGlobalClusteringCoefficient;1.7511113496E10;0.0;1.7511113496E10;1.7511113496E10;
OperationNetworkAverageClusteringCoefficient;4.645928232E9;0.0;4.645928232E9;4.645928232E9;
