operation;sql-mean;sql-stdev;sql-min;sql-max;
OperationOpenGraph;1.1807909E7;968550.0720869903;9333096.0;1.3349731E7;
OperationGenerateGraph;2.231091267E9;0.0;2.231091267E9;2.231091267E9;
OperationShutdownGraph;606800.8571428572;419333.8239874999;284437.0;1464707.0;
OperationDoGC;3.501659224214286E9;9485147.917011289;3.488503054E9;3.519130575E9;
OperationGetManyVertices;1.34128818E8;0.0;1.34128818E8;1.34128818E8;
OperationGetManyVertexProperties;1.15098527E8;0.0;1.15098527E8;1.15098527E8;
OperationGetManyEdges;2.27010086E8;0.0;2.27010086E8;2.27010086E8;
OperationGetManyEdgeProperties;1.99906979E8;0.0;1.99906979E8;1.99906979E8;
OperationGetFirstNeighbor;370359.824;94437.41320160685;125562.0;640388.0;
OperationGetRandomNeighbor;206282.062;91309.79693312301;59612.0;608069.0;
OperationGetAllNeighbors;570217.978;474984.19005818415;61873.0;5292551.0;
OperationGetKFirstNeighbors;462592.45;163571.89295147685;64023.0;997422.0;
OperationGetKRandomNeighbors;417460.04;152115.41689335235;70024.0;1064603.0;
OperationGetKHopNeighbors;3795898.945;4641261.637440368;59352.0;5.4173724E7;
OperationGetShortestPath;4.49294587E7;5.167316230671042E7;899934.0;1.43548687E8;
OperationGlobalClusteringCoefficient;2.6246898677E10;0.0;2.6246898677E10;2.6246898677E10;
OperationNetworkAverageClusteringCoefficient;1.0336662498E10;0.0;1.0336662498E10;1.0336662498E10;
